"gene","covid_healthy_log2FC","covid_healthy_padj","covid_virus_log2FC","covid_virus_padj","direction"
"LINC01272",2.66021128519782,0.0437383262365364,-1.20364943612133,0.00804932410886568,"Higher in COVID-19"
"CCER2",-1.94135666977622,0.000935455360023407,-1.0119424499046,0.0080798213936786,"Lower in COVID-19"
"IL18RAP",2.53572767076874,0.012308857428455,-1.09358471997036,0.00947696336892614,"Higher in COVID-19"
"LOC101927697",6.43375434277087,0.0266225345138021,3.04549717476125,0.00949579779218103,"Higher in COVID-19"
"PRSS21",-3.81179150633239,4.40072511210005e-06,-1.27632355860327,0.0151762360677422,"Lower in COVID-19"
"SIRPB1",2.74993567364351,0.0243331503720206,-1.03624252614223,0.0158144628138112,"Higher in COVID-19"
"IGF2_AS",5.4611361680915,2.38571958969489e-05,1.12348959598791,0.0166758224252779,"Higher in COVID-19"
"FCGR3B",4.60964610106554,6.33305993864706e-05,-1.00040168197263,0.0168692051869505,"Higher in COVID-19"
"ATOH7",-3.41530452800427,0.000113304397676747,-1.22334599978282,0.0206806366466938,"Lower in COVID-19"
"LILRA6",2.77542036675992,0.0253663153943768,-1.01102318387593,0.0207794784368606,"Higher in COVID-19"
"EMILIN3",-2.66485914056844,0.00211563261711653,-1.11349670194758,0.0257122190460612,"Lower in COVID-19"
"ZC4H2",4.42556864158328,0.00576682816116608,1.60374710547256,0.025897872915266,"Higher in COVID-19"
"LOC101927766",5.54087220819447,0.0318537108785544,-2.49204045224942,0.0304703495716507,"Higher in COVID-19"
"ILDR2",3.73711552316402,0.0110483656163395,-1.37127446229862,0.0341895306751502,"Higher in COVID-19"
"FGB",-3.88988217787529,0.0105154123337689,-1.75725860954627,0.0367300882526502,"Lower in COVID-19"
"BEST3",-2.70878522988758,0.00101687952447684,-1.01635969827601,0.0399446291789631,"Lower in COVID-19"
