"gene","covid_log2FC","covid_padj","covid_direction","virus_log2FC","virus_padj","virus_direction","shared_direction"
"PCNXL4",-2.34102121436615,7.69326088543986e-10,"Down",-4.75157738805611,8.60496605052171e-09,"Down","Shared Down"
"FBL",-1.48117343388449,1.20396630935178e-09,"Down",-3.46527278699794,4.87033329213901e-07,"Down","Shared Down"
"COX7A2L",-1.94561687307746,1.23026266837672e-09,"Down",-4.17450442717142,3.61655336548569e-06,"Down","Shared Down"
"STK25",-1.85016722584964,1.35969104880228e-09,"Down",-3.8100616012984,2.92144689072083e-06,"Down","Shared Down"
"C9orf16",-1.96271300982165,1.36029946016731e-09,"Down",-3.90881168096489,8.80051910010648e-09,"Down","Shared Down"
"MYNN",-2.04016099650515,1.71563586236037e-09,"Down",-4.35640982812031,1.57646499656578e-07,"Down","Shared Down"
"DANT2",-3.77476798384867,4.39936739968651e-09,"Down",-7.51737097106134,3.39675492819493e-13,"Down","Shared Down"
"CAPN12",-2.90676794366136,5.57206513910582e-09,"Down",-4.41537407965843,1.51777909479303e-06,"Down","Shared Down"
"PAFAH2",-2.43792759408089,6.53188438131832e-09,"Down",-4.41266314411056,2.50962515759788e-07,"Down","Shared Down"
"GLTSCR2",-1.38620717274051,6.5642697921288e-09,"Down",-3.43333000768494,2.27701750099472e-08,"Down","Shared Down"
"HPS5",-1.63808022684573,8.79637323679608e-09,"Down",-4.15636262085314,2.9663899763116e-10,"Down","Shared Down"
"AXIN1",-1.42642730984602,9.4466005557017e-09,"Down",-3.17451226358313,1.44335720336084e-05,"Down","Shared Down"
"RAB11FIP4",-1.17093826477977,1.3963512671423e-08,"Down",-3.0430728586057,3.01184083514456e-05,"Down","Shared Down"
"CNKSR1",-1.61808685484134,1.91133330026956e-08,"Down",-3.72877550214043,1.2205890285848e-06,"Down","Shared Down"
"LINC01011",-3.45164082900286,1.92874489677394e-08,"Down",-5.9113259120251,9.63416200614286e-12,"Down","Shared Down"
"CLTCL1",-2.47706790520945,2.00496195461568e-08,"Down",-3.88082294910705,6.38244476232394e-05,"Down","Shared Down"
"OSBPL1A",-1.4380312075747,2.00496195461568e-08,"Down",-3.82527104469011,3.47865695937882e-08,"Down","Shared Down"
"OGFOD2",-2.23637730080664,2.05500572229534e-08,"Down",-3.49293170236565,0.00121730261223705,"Down","Shared Down"
"PTK6",-2.98506912604061,2.27037798285043e-08,"Down",-4.84334788999912,2.17830404091105e-07,"Down","Shared Down"
"PRRT1",-3.19007137913101,2.40056698847427e-08,"Down",-5.85310340582652,5.73818744100794e-08,"Down","Shared Down"
"C10orf2",-2.23270520711319,2.90908932818558e-08,"Down",-3.73438555617519,2.75463555514354e-05,"Down","Shared Down"
"MOV10L1",-4.1818011085952,2.90908932818558e-08,"Down",-4.77611526199264,3.52267345061431e-05,"Down","Shared Down"
"SIAE",-2.10172045911623,3.00786128357471e-08,"Down",-4.00924766653542,2.95826650655015e-05,"Down","Shared Down"
"SLC25A20",-2.18945022526385,4.77389005908181e-08,"Down",-4.75935441269599,2.01764726975206e-08,"Down","Shared Down"
"BSPRY",-1.53289562984486,5.16878212093336e-08,"Down",-3.82599333853336,7.24384754051308e-08,"Down","Shared Down"
