"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction","comparison"
"NEFM",19.2400815636326,-2.95925871985084,0.382892029702908,-7.72870284645772,1.08647953359005e-14,1.50841149854771e-12,"Down","COVID19_vs_OtherVirus"
"SNORA64",42.7714457414055,1.85467301343144,0.240337149246848,7.71696352080187,1.19133730128519e-14,1.63973201313097e-12,"Up","COVID19_vs_OtherVirus"
"SLC39A14",16.5131905164816,-2.84124472694654,0.369276875606998,-7.69407703170218,1.42519176746296e-14,1.94483861190714e-12,"Down","COVID19_vs_OtherVirus"
"SNORD68",225.651351460337,1.7442534336034,0.227146173616462,7.67899104718615,1.60346440223877e-14,2.16956886831731e-12,"Up","COVID19_vs_OtherVirus"
"SYNJ1",154.164664257817,1.88549257915389,0.246007913928035,7.66435741455641,1.79728749259224e-14,2.41138589132166e-12,"Up","COVID19_vs_OtherVirus"
"SNORA20",163.514890709211,1.65708030565605,0.216670988679163,7.6479103905774,2.04271475810567e-14,2.71783198565959e-12,"Up","COVID19_vs_OtherVirus"
"ZNF365",17.344485492086,-3.93453545279927,0.514543721156225,-7.64664943137974,2.06283711415656e-14,2.72192209624989e-12,"Down","COVID19_vs_OtherVirus"
"TRPM6",15.0617484302167,-2.87249390945398,0.375721316037912,-7.64527799419325,2.08494386732243e-14,2.7285421135795e-12,"Down","COVID19_vs_OtherVirus"
"BATF3",2.74324247664974,-2.36384706496156,0.309383656272394,-7.64050400542273,2.16373064827085e-14,2.80862792929206e-12,"Down","COVID19_vs_OtherVirus"
"RNU4ATAC",16.9708507053317,1.8185984544634,0.238220729364628,7.63408985991224,2.27421255736573e-14,2.92823207184688e-12,"Up","COVID19_vs_OtherVirus"
"MORF4L2_AS1",16.2952083553613,-5.04542020167685,0.661990553880059,-7.62158942012787,2.5057096409603e-14,3.17509207361683e-12,"Down","COVID19_vs_OtherVirus"
"SNORD33",75.1886502190644,1.57827997468186,0.207060870223023,7.62229953434425,2.49195944757922e-14,3.17509207361683e-12,"Up","COVID19_vs_OtherVirus"
"NBPF25P",2.15929489467551,-1.76335555147714,0.231666778233348,-7.61160303140656,2.70716964037799e-14,3.40335988017913e-12,"Down","COVID19_vs_OtherVirus"
"SNORD50A",18.0367120592507,1.77209881148009,0.232958985419977,7.60691332976643,2.80719422747233e-14,3.50153617467369e-12,"Up","COVID19_vs_OtherVirus"
"SNORD59B",16.2513559607552,1.9713711208155,0.260261717452621,7.5745720120147,3.60313487812813e-14,4.45950786544138e-12,"Up","COVID19_vs_OtherVirus"
"NCKAP5",13.7803522071648,-3.18815555093603,0.421334269159573,-7.56680807686347,3.82506372600451e-14,4.697766726876e-12,"Down","COVID19_vs_OtherVirus"
"PFN2",25.0451938114391,1.50212210330435,0.199306599904114,7.53674039909877,4.81864240007509e-14,5.87285836332816e-12,"Up","COVID19_vs_OtherVirus"
"SNORA14B",153.823556500826,1.78090675119192,0.237175899016497,7.50880152063026,5.96711144379356e-14,7.21749252360667e-12,"Up","COVID19_vs_OtherVirus"
"CD164",425.954227258246,-2.16433367498965,0.289211745822016,-7.48356076907611,7.23354313798765e-14,8.68351501812863e-12,"Down","COVID19_vs_OtherVirus"
