"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction","comparison"
"SF3B5",6.06957800574318,-4.11552114508625,0.716464528079715,-5.74420782019281,9.23523090579891e-09,5.11350719936301e-07,"Down","OtherVirus_vs_Healthy"
"RNVU1_19",16.1311252307868,-5.25299082179314,0.915464702191419,-5.73805938035475,9.57675412986501e-09,5.27965211445155e-07,"Down","OtherVirus_vs_Healthy"
"RAB25",9.90495314080194,-3.4925454027725,0.608808606573618,-5.73668861619514,9.65455208523107e-09,5.29960003471628e-07,"Down","OtherVirus_vs_Healthy"
"EEFSEC",1.42194187180681,-3.64092473710571,0.63531080361818,-5.73093471159337,9.98787077006738e-09,5.45903580501322e-07,"Down","OtherVirus_vs_Healthy"
"SFN",31.2029753988157,-3.32095133632148,0.579630779340597,-5.72942544579755,1.00771366153715e-08,5.48428781182716e-07,"Down","OtherVirus_vs_Healthy"
"TOMM22",11.5334267914999,-3.28924387612125,0.574172353623404,-5.72866989391594,1.01221146752099e-08,5.48532469739566e-07,"Down","OtherVirus_vs_Healthy"
"SLC35B3",11.8489297508099,-3.0761493721804,0.537322784986948,-5.72495613089461,1.03460471984865e-08,5.5829199607087e-07,"Down","OtherVirus_vs_Healthy"
"TCEB2",10.6345537893485,-3.53536055107666,0.61762127136156,-5.7241560726736,1.03949157109756e-08,5.58562242950527e-07,"Down","OtherVirus_vs_Healthy"
"BLM",5.5940915257838,-4.80738109531929,0.840254279891386,-5.72134080166864,1.0568665915309e-08,5.631462779559e-07,"Down","OtherVirus_vs_Healthy"
"SH2D4A",22.4041790696126,-2.94925357430536,0.515448871328401,-5.72171894897087,1.05451647232573e-08,5.631462779559e-07,"Down","OtherVirus_vs_Healthy"
"CTSD",132.29485593502,-2.85280824570159,0.499152586757931,-5.71530293818769,1.09508759748557e-08,5.7943255919492e-07,"Down","OtherVirus_vs_Healthy"
"PRPF19",9.58583191536222,-3.12467521430746,0.546742268138853,-5.71507892547628,1.09653118779722e-08,5.7943255919492e-07,"Down","OtherVirus_vs_Healthy"
"SCAND1",4.60157209232471,-3.89869274594976,0.682293657285352,-5.71409788779441,1.10287503833025e-08,5.80376595584123e-07,"Down","OtherVirus_vs_Healthy"
"ALDH1A1",162.040819117439,-3.00056779030534,0.526285050846234,-5.70141178336836,1.18819221142956e-08,6.17617461736958e-07,"Down","OtherVirus_vs_Healthy"
"FAU",39.3641569515256,-2.44641259969739,0.429043375840048,-5.70201694620601,1.18398054321674e-08,6.17617461736958e-07,"Down","OtherVirus_vs_Healthy"
"WBSCR16",9.79058284095351,-3.934973650732,0.69012925818255,-5.70179224265136,1.18554268555863e-08,6.17617461736958e-07,"Down","OtherVirus_vs_Healthy"
"MAZ",25.5090609633108,-2.93251372311966,0.514468348183913,-5.700085794338,1.19747147271803e-08,6.19910536791226e-07,"Down","OtherVirus_vs_Healthy"
"COL25A1",22.0547096129594,-6.31286389812776,1.10767169098023,-5.69921931699925,1.2035730751217e-08,6.20546684683191e-07,"Down","OtherVirus_vs_Healthy"
"CAMK2N2",4.86002345710866,-4.70305444194735,0.826770013805863,-5.68846760696826,1.28184420736885e-08,6.58237337937188e-07,"Down","OtherVirus_vs_Healthy"
"ATP2A3",29.7303694810633,-3.05464378819345,0.53747549639267,-5.68331730226783,1.32106838734095e-08,6.75654855935221e-07,"Down","OtherVirus_vs_Healthy"
"SMG9",11.2167599769791,-3.29445796766027,0.580014404450527,-5.67995888098892,1.34727126911224e-08,6.86299984485774e-07,"Down","OtherVirus_vs_Healthy"
"RNF7",8.02099660813438,-3.475771555019,0.612628870797298,-5.67353535019579,1.3988021935393e-08,7.0971099341526e-07,"Down","OtherVirus_vs_Healthy"
"CUL9",28.3141625874233,-3.16156876533574,0.557429868669584,-5.6716888402149,1.41396623891517e-08,7.14557938594632e-07,"Down","OtherVirus_vs_Healthy"
"LGALS3",50.0258665708243,-2.9405417837021,0.519154046822558,-5.66410259478753,1.47795963487229e-08,7.43945294470301e-07,"Down","OtherVirus_vs_Healthy"
