"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction","comparison"
"ZNF628",84.6599597240578,-3.22568478836024,0.427338639739889,-7.54831060987988,4.40940315297526e-14,1.56814410313084e-11,"Down","COVID19_vs_Healthy"
"TRIM22",192.206996668367,2.21283478058086,0.296172737303872,7.47143305871026,7.93261206869779e-14,2.75843363668851e-11,"Up","COVID19_vs_Healthy"
"TRUB2",7.14517306816371,-2.41941796974228,0.328041641440251,-7.37533795746155,1.63928675060387e-13,5.57642588553246e-11,"Down","COVID19_vs_Healthy"
"ADCK2",1313.73326982688,5.63401956473177,0.768881728597884,7.32755033079774,2.34397652956413e-13,7.65646429550354e-11,"Up","COVID19_vs_Healthy"
"SHF",39.5669442986652,-2.8870431426753,0.39401263671614,-7.32728565950848,2.34860867960231e-13,7.65646429550354e-11,"Down","COVID19_vs_Healthy"
"STBD1",9.1494363859487,-2.87836958148398,0.39630315898414,-7.26304980475608,3.7845850311479e-13,1.2085956442327e-10,"Down","COVID19_vs_Healthy"
"HS1BP3",879.628653248779,5.03859664374366,0.695905784821971,7.24034309476627,4.47551094950665e-13,1.4006559067576e-10,"Up","COVID19_vs_Healthy"
"EYA2",200.20299458673,-2.50752547040624,0.347935447642067,-7.2068698012794,5.7252697359578e-13,1.73941138374075e-10,"Down","COVID19_vs_Healthy"
"PARP14",319.650470817762,2.21683448813664,0.307655772220154,7.2055676776001,5.78025255333072e-13,1.73941138374075e-10,"Up","COVID19_vs_Healthy"
"BCL7C",18.6732720866242,-2.94109767378309,0.409006403563447,-7.19083527338188,6.43961378874257e-13,1.87941020074454e-10,"Down","COVID19_vs_Healthy"
"MX1",485.318231063675,2.4011680388575,0.333965813684064,7.18986177767595,6.48569471115829e-13,1.87941020074454e-10,"Up","COVID19_vs_Healthy"
"GBP1",143.379501673531,3.20576899714572,0.447498288025773,7.16375700852087,7.84954896106188e-13,2.23326803895811e-10,"Up","COVID19_vs_Healthy"
"DDX60L",118.207559793189,3.39947368669416,0.475926921872923,7.14284805178946,9.14166647723431e-13,2.55018119154423e-10,"Up","COVID19_vs_Healthy"
"IFIH1",63.7777045842418,2.81217403481337,0.393826323892069,7.14064516313051,9.28938700907597e-13,2.55018119154423e-10,"Up","COVID19_vs_Healthy"
"SP110",80.7632059424725,2.44309995981705,0.343338462060524,7.11571883078564,1.11331050544044e-12,3.00363496364345e-10,"Up","COVID19_vs_Healthy"
"YPEL1",8.3179035956714,-2.96705692680239,0.417374064604114,-7.10886750861409,1.16998993368789e-12,3.10305126819459e-10,"Down","COVID19_vs_Healthy"
"DCAF4",10.4850055356393,-2.04905435699179,0.288536537985019,-7.10154204837025,1.2337246184371e-12,3.21755380488396e-10,"Down","COVID19_vs_Healthy"
