"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction","comparison"
"FAM32A",27.0143406962605,-1.27302073406559,0.458646545609736,-2.77560301336883,0.00550994411379675,0.0103463783971102,"Down","OtherVirus_vs_Healthy"
"OLFML2A",8.14578467492891,-2.27219068090401,0.818792797170985,-2.77504966916498,0.00551932778263419,0.0103624707816374,"Down","OtherVirus_vs_Healthy"
"SKIV2L",25.2923072263614,-1.53808901439835,0.554428193352006,-2.7741897559344,0.00553393890535108,0.0103883714563157,"Down","OtherVirus_vs_Healthy"
"SLC7A6",4.57735769467597,-2.05270679263219,0.739964133827685,-2.77406255086169,0.00553610325781587,0.0103909027248762,"Down","OtherVirus_vs_Healthy"
"SLC16A3",38.4214983295555,-1.55393676576155,0.560212215823283,-2.77383591765827,0.0055399612402107,0.0103966116112707,"Down","OtherVirus_vs_Healthy"
"LINC01000",29.8564994210811,-1.62484126171382,0.585790953580234,-2.77375615274207,0.00554131965739637,0.0103976286779052,"Down","OtherVirus_vs_Healthy"
"EME2",3.74078518301167,-2.12790630532374,0.767227813168515,-2.77349995503404,0.00554568480418989,0.0104042863849968,"Down","OtherVirus_vs_Healthy"
"OST4",3.34488477223262,-2.38264855074489,0.859187957318991,-2.77314006841961,0.00555182186395396,0.010412827734974,"Down","OtherVirus_vs_Healthy"
"ZNF618",11.346992328815,-1.69826953746238,0.612400140079689,-2.77313708197616,0.00555187281668423,0.010412827734974,"Down","OtherVirus_vs_Healthy"
"RSPRY1",38.6780426305785,-2.25077283128536,0.812019900509575,-2.77181979145204,0.00557438874677185,0.0104535179929524,"Down","OtherVirus_vs_Healthy"
"LOC100129534",2.44299703563003,-2.10781693541279,0.760490474156251,-2.77165461901593,0.00557721778012801,0.01045728333774,"Down","OtherVirus_vs_Healthy"
"GPSM2",2.16988470878091,-2.25579946455142,0.813919020537327,-2.77152813441097,0.0055793850535131,0.010459806956645,"Down","OtherVirus_vs_Healthy"
"ZC3HAV1L",2.34391007461207,-2.46005804025262,0.887662529718485,-2.77138885318592,0.00558177247200278,0.0104627424832139,"Down","OtherVirus_vs_Healthy"
"ARL6IP5",4.66606696420397,-1.79958106231088,0.649461326371106,-2.77088255949915,0.00559045861569347,0.0104765382213493,"Down","OtherVirus_vs_Healthy"
"LYRM1",8.61324176667349,-1.4269503047079,0.514983888524153,-2.77086397556488,0.00559077767980287,0.0104765382213493,"Down","OtherVirus_vs_Healthy"
"SNHG3",2.37481298887608,-1.89340190725435,0.683461982991454,-2.77031049915475,0.00560028774796972,0.0104928151346762,"Down","OtherVirus_vs_Healthy"
"ANKRD50",12.2782080973898,-2.03579554119819,0.734971411512412,-2.76989758963408,0.00560739203903626,0.0105045804085212,"Down","OtherVirus_vs_Healthy"
"FUT3",8.61209677658746,-1.92485073431575,0.694999713637806,-2.76957054304466,0.0056130247898045,0.0105135859241301,"Down","OtherVirus_vs_Healthy"
"TSHZ3",4.4457226545273,-1.82671358561331,0.659580199318644,-2.76950943569915,0.00561407781256958,0.0105140119033932,"Down","OtherVirus_vs_Healthy"
"FZD6",6.49883816273394,-1.96123638548007,0.708323441179265,-2.76884297689608,0.00562557403695169,0.0105339928481958,"Down","OtherVirus_vs_Healthy"
"CXXC4",2.29201202820132,-2.31638775221688,0.836697237092973,-2.76848978283346,0.0056316751399782,0.0105438669373158,"Down","OtherVirus_vs_Healthy"
"ACAD9",9.30351864961072,-2.02273149060725,0.730783000565401,-2.76789620043471,0.00564194217793639,0.0105615366214934,"Down","OtherVirus_vs_Healthy"
"DYNC1I2",14.2932831901373,-1.42811099424548,0.515967573936924,-2.76783089942793,0.00564307270255244,0.0105621003625816,"Down","OtherVirus_vs_Healthy"
"GOLT1B",1.52367602180564,-2.11478665118565,0.764197374586871,-2.76733043257171,0.00565174382911768,0.0105767755567691,"Down","OtherVirus_vs_Healthy"
"EFHC1",16.9886479580205,-2.08346413026995,0.752916189584321,-2.76719262926224,0.00565413352912262,0.0105796929905049,"Down","OtherVirus_vs_Healthy"
"FBXO32",14.2144883610085,-1.84128142576306,0.665475666464907,-2.76686514406183,0.00565981623275876,0.0105887703429092,"Down","OtherVirus_vs_Healthy"
"MOB4",7.69990340359074,-3.13550368793783,1.13327229325247,-2.76676991629168,0.00566146964409434,0.0105903078609785,"Down","OtherVirus_vs_Healthy"
"MGAT2",6.27323574720768,-1.7619860985533,0.636884122029208,-2.76657250135134,0.0056648986886906,0.0105951659275187,"Down","OtherVirus_vs_Healthy"
"MCRS1",8.78212657849615,-2.10175268921439,0.759824483176209,-2.76610287737593,0.00567306346169417,0.010608878588058,"Down","OtherVirus_vs_Healthy"
