"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction","comparison"
"RNVU1_8",1088.83118809982,2.09942634446946,0.300535493544123,6.98561863596066,2.83603491088647e-12,2.28687542359663e-10,"Up","COVID19_vs_OtherVirus"
"SNORD83B",9.28510537572284,1.95443761134181,0.27986083283252,6.98360535685042,2.87699508593057e-12,2.30824640914409e-10,"Up","COVID19_vs_OtherVirus"
"PXK",46.2552486196074,-1.95774975133901,0.280572874383277,-6.97768718961985,3.00078860789262e-12,2.39552954568068e-10,"Down","COVID19_vs_OtherVirus"
"IFIT2",330.201864296969,-1.75807083031338,0.252121946971183,-6.97309715173002,3.10038360260505e-12,2.46272261687524e-10,"Down","COVID19_vs_OtherVirus"
"SH2D3C",24.3898400237853,-2.36753670244418,0.339683414673784,-6.96983308625137,3.17317235473524e-12,2.50806286216351e-10,"Down","COVID19_vs_OtherVirus"
"LINC00837",42.2992964783754,-3.31607071634346,0.475872342276682,-6.9684039641359,3.20556682225776e-12,2.52118620119051e-10,"Down","COVID19_vs_OtherVirus"
"CRADD",16.080068762047,-2.23067433298048,0.320422508653403,-6.96166552828962,3.36273131328228e-12,2.61899356818853e-10,"Down","COVID19_vs_OtherVirus"
"MIRLET7D",7.91774829911988,2.88871029350422,0.414913776867799,6.96219420649565,3.35013226549756e-12,2.61899356818853e-10,"Up","COVID19_vs_OtherVirus"
"NDRG3",36.3804330177568,-2.19198911276789,0.314992703035948,-6.95885679776442,3.43044986975434e-12,2.65876517575232e-10,"Down","COVID19_vs_OtherVirus"
"HMX3",20.1502966710795,-3.30932191799103,0.475854035897736,-6.95448954582835,3.53840876793729e-12,2.72919006709598e-10,"Down","COVID19_vs_OtherVirus"
"OAT",18.9243673286953,1.45418743319618,0.209244668339822,6.94969886083079,3.66066774112298e-12,2.80991447859469e-10,"Up","COVID19_vs_OtherVirus"
"FANCG",17.0778915238766,-3.0573996187763,0.441018458522161,-6.93258878329389,4.13208048748629e-12,3.15659316091895e-10,"Down","COVID19_vs_OtherVirus"
"SNORA73A",73.6566493216015,1.46503839055669,0.211445506334789,6.92868066080842,4.24783456805693e-12,3.22956793874271e-10,"Up","COVID19_vs_OtherVirus"
"ISG20",73.5433436066171,-1.46305423158058,0.211342893973289,-6.92265637171361,4.43252074841047e-12,3.35401072365505e-10,"Down","COVID19_vs_OtherVirus"
"SNORD116_8",44.8385823096113,2.09120233736962,0.30234247187484,6.91666746124676,4.62391755787701e-12,3.46598440042556e-10,"Up","COVID19_vs_OtherVirus"
"SNORA53",28.5715018519354,1.73748211035068,0.252076651535274,6.89267371558827,5.47533651191192e-12,4.06601036042724e-10,"Up","COVID19_vs_OtherVirus"
"SNORD88C",2.69036759517939,2.25443640212647,0.327076445040136,6.89268957246317,5.47472599695375e-12,4.06601036042724e-10,"Up","COVID19_vs_OtherVirus"
"SPTBN5",35.998290135625,-1.54549497189116,0.224286655894978,-6.89071298390057,5.55134433811765e-12,4.1033686899253e-10,"Down","COVID19_vs_OtherVirus"
"RNU1_13P",17.9838567519168,1.73890140249708,0.252483282015531,6.8871942277355,5.69035079774209e-12,4.1867346007719e-10,"Up","COVID19_vs_OtherVirus"
"ANO7",17.6232297044682,-2.53661678047975,0.368904773587842,-6.87607470027964,6.15242473609189e-12,4.4853704719837e-10,"Down","COVID19_vs_OtherVirus"
"RGS7BP",11.8691542463259,-3.06714964315553,0.446029495917228,-6.87656236018237,6.13141018891578e-12,4.4853704719837e-10,"Down","COVID19_vs_OtherVirus"
"SNORA51",35.0789357935287,1.75244570928953,0.254954307431867,6.87356776569795,6.26157430240522e-12,4.54419524146371e-10,"Up","COVID19_vs_OtherVirus"
"BPIFB1",158.628590637345,1.60092940940922,0.233094635435922,6.86815209803195,6.50388585436875e-12,4.69868966293446e-10,"Up","COVID19_vs_OtherVirus"
"SNORD116_2",21.0800421790716,1.96691064788496,0.286807302380852,6.85795177304481,6.98548314259619e-12,5.00135532980676e-10,"Up","COVID19_vs_OtherVirus"
"TMBIM6",106.630944200538,1.13540474492344,0.16561060559775,6.85586977250247,7.08799255599476e-12,5.05209326558091e-10,"Up","COVID19_vs_OtherVirus"
"MUC5AC",2421.22823311879,1.41350750236271,0.206306446266314,6.85149459914628,7.30823585099406e-12,5.18592415986539e-10,"Up","COVID19_vs_OtherVirus"
"SMC1A",231.532887484428,-1.26364586672673,0.184576907514566,-6.84617530839826,7.58505205116435e-12,5.35853721455265e-10,"Down","COVID19_vs_OtherVirus"
