Gene
ADA
ADCY5
ADORA1
ADRA1A
ADRB1
CACNA1A
CAV1
CCR2
CIB2
ESR1
FFAR4
GATA2
GHRL
JPH3
LPAR1
MCHR1
NMU
TRPM4
