"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006805","xenobiotic metabolic process","19/527","93/12561",0.204301075268817,4.86949868396891,7.83777703066217,7.86030057116512e-09,2.42883287649002e-05,2.42883287649002e-05,"GSTA2/CBR1/SLC22A7/ALDH2/ALDH3A1/CYP2B6/GSTA3/FMO5/CYP2J2/CYP2A13/GSTA1/EPHX1/UGT2A1/CYP2F1/FMO2/GRIN1/RBBP9/ABCB11/GSTA4",19
"GO:0071466","cellular response to xenobiotic stimulus","19/527","124/12561",0.153225806451613,3.65212401297668,6.21072038134776,9.32109630825419e-07,0.00144010937962527,0.00144010937962527,"GSTA2/CBR1/SLC22A7/ALDH2/ALDH3A1/CYP2B6/GSTA3/FMO5/CYP2J2/CYP2A13/GSTA1/EPHX1/UGT2A1/CYP2F1/FMO2/GRIN1/RBBP9/ABCB11/GSTA4",19
