"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062207","regulation of pattern recognition receptor signaling pathway","24/811","163/12405",0.147239263803681,2.25216161218824,4.25601017798675,0.000148392982431668,0.00355065789656133,0.00355065789656133,"OASL/S100A8/GPS2/LYN/IRF1/HSP90B1/TNFAIP3/GBP2/SLC15A4/RSAD2/BIRC3/NFKBIL1/ZC3HAV1/CD300A/IFI16/USP15/DDX60/GDI1/NEK7/EIF2AK2/GBP5/IRF7/HMGB1/MSR1",24
"GO:0034121","regulation of toll-like receptor signaling pathway","9/811","32/12405",0.28125,4.30198057953144,4.94637063481091,0.000149086356683557,0.00355065789656133,0.00355065789656133,"S100A8/GPS2/IRF1/HSP90B1/BIRC3/NFKBIL1/CD300A/GDI1/IRF7",9
"GO:0002709","regulation of T cell mediated immunity","13/811","62/12405",0.209677419354839,3.20721132810946,4.60791070578182,0.00015073958677426,0.00355065789656133,0.00355065789656133,"PTPRC/NCKAP1L/ZBTB1/LAG3/CD274/TNFRSF1B/IL18R1/CEACAM1/LILRB1/B2M/RSAD2/IL1B/HMGB1",13
"GO:0032602","chemokine production","13/811","62/12405",0.209677419354839,3.20721132810946,4.60791070578182,0.00015073958677426,0.00355065789656133,0.00355065789656133,"OAS1/FFAR2/HIF1A/EGR1/TNF/AIF1/TLR3/IL1B/OAS3/EIF2AK2/CXCL8/HMGB1/CLEC7A",13
"GO:0032642","regulation of chemokine production","13/811","62/12405",0.209677419354839,3.20721132810946,4.60791070578182,0.00015073958677426,0.00355065789656133,0.00355065789656133,"OAS1/FFAR2/HIF1A/EGR1/TNF/AIF1/TLR3/IL1B/OAS3/EIF2AK2/CXCL8/HMGB1/CLEC7A",13
"GO:0046425","regulation of receptor signaling pathway via JAK-STAT","13/811","62/12405",0.209677419354839,3.20721132810946,4.60791070578182,0.00015073958677426,0.00355065789656133,0.00355065789656133,"PTPRC/SOCS1/USP1/PIAS1/PARP14/BCL3/IL12RB2/IL10RA/IL7R/IL2RG/GBP7/PTPN2/JAK2",13
"GO:0050852","T cell receptor signaling pathway","19/811","115/12405",0.165217391304348,2.52715380903876,4.3514141166939,0.000156407090064704,0.00366298213800959,0.00366298213800959,"PTPRC/BTN3A3/CLEC2B/BTN3A1/TESPA1/LAG3/CD274/BTN2A2/LCP2/BTN2A1/CEACAM1/LAPTM5/CD86/BTN3A2/CD300A/DGKZ/NFKBIZ/PTPN2/GBP1",19
"GO:0097530","granulocyte migration","17/811","97/12405",0.175257731958763,2.6807301663976,4.39505967554526,0.000164397279729183,0.00382810808512241,0.00382810808512241,"S100A8/NCKAP1L/THBS4/CCL2/CXCR2/CMKLR1/SAA1/CD177/CXCL10/SRP54/TNFAIP6/CD300A/CXCL9/TREM1/MOSPD2/CXCL8/CXCR1",17
"GO:0062208","positive regulation of pattern recognition receptor signaling pathway","14/811","71/12405",0.197183098591549,3.01609906045397,4.50571509951518,0.000169931887680864,0.00391227368530802,0.00391227368530802,"OASL/LYN/HSP90B1/GBP2/SLC15A4/RSAD2/ZC3HAV1/USP15/DDX60/GDI1/NEK7/GBP5/HMGB1/MSR1",14
"GO:1990266","neutrophil migration","14/811","71/12405",0.197183098591549,3.01609906045397,4.50571509951518,0.000169931887680864,0.00391227368530802,0.00391227368530802,"S100A8/NCKAP1L/THBS4/CXCR2/SAA1/CD177/CXCL10/SRP54/TNFAIP6/CXCL9/TREM1/MOSPD2/CXCL8/CXCR1",14
"GO:0097529","myeloid leukocyte migration","22/811","146/12405",0.150684931506849,2.30486630745064,4.19459061412965,0.000197107677930532,0.0045124370088029,0.0045124370088029,"S100A8/NCKAP1L/LYN/THBS4/CCL2/AIF1/CXCR2/CMKLR1/SAA1/CD177/CXCL10/SRP54/TNFAIP6/CD300A/CXCL9/TREM1/STAP1/CCR1/MOSPD2/CXCL8/CXCR1/HMGB1",22
"GO:0050900","leukocyte migration","33/811","261/12405",0.126436781609195,1.93396828096433,4.03316657608714,0.000198834431135425,0.00452653802724502,0.00452653802724502,"S100A8/FFAR2/NCKAP1L/LYN/THBS4/CXCR4/CCL2/CCR5/TNF/AIF1/CD69/CXCR2/CMKLR1/SAA1/ICAM1/CD177/DOCK8/CXCL10/SRP54/TNFAIP6/CXCL11/SELL/CD300A/CXCL9/PLVAP/TREM1/STAP1/CCL20/CCR1/MOSPD2/CXCL8/CXCR1/HMGB1",33
"GO:0050688","regulation of defense response to virus","11/811","48/12405",0.229166666666667,3.50531750924784,4.5994036639674,0.000210613078073644,0.00476804607305611,0.00476804607305611,"DTX3L/STAT1/PARP9/APOBEC3G/AIM2/TNFAIP3/LILRB1/IL1B/HSP90AA1/HERC5/TRIM22",11
"GO:0044458","motile cilium assembly","12/811","56/12405",0.214285714285714,3.27769948916681,4.51803093751148,0.000216489605620402,0.00487400631438199,0.00487400631438199,"DYNLL1/CCDC181/SPAG17/CCDC39/CCDC146/MYCBPAP/LRRK2/CFAP54/MNS1/CFAP47/CFAP53/DMD",12
"GO:0002699","positive regulation of immune effector process","22/811","147/12405",0.149659863945578,2.28918694481492,4.15852594740462,0.000217848737555191,0.00487765717328245,0.00487765717328245,"PTPRC/FFAR2/ZBTB1/FGR/SEMA7A/TNF/MAD2L2/IL18R1/CD177/LILRB1/LAPTM5/RASGRP1/NOS2/B2M/RSAD2/IL1B/CD86/STAP1/DDX60/NFKBIZ/CFB/CLEC7A",22
"GO:0042098","T cell proliferation","18/811","109/12405",0.165137614678899,2.52593355128452,4.23196046360104,0.000232474546854063,0.0051766873138268,0.0051766873138268,"PTPRC/NCKAP1L/IRF1/BTN3A1/AIF1/CD274/BTN2A2/TNFRSF1B/IL12RB2/DOCK8/LILRB1/LAPTM5/RASGRP1/IL1B/CD86/BMI1/HMGB1/JAK2",18
"GO:0050870","positive regulation of T cell activation","24/811","168/12405",0.142857142857143,2.18513299277788,4.09033527248961,0.000237339852946183,0.00525630380845486,0.00525630380845486,"PTPRC/NCKAP1L/LYN/ZBTB1/TESPA1/SOCS1/CCL2/AIF1/CD274/IL12RB2/DOCK8/RASGRP1/B2M/IL1B/CD86/IL7R/BMI1/IL2RG/SIRPB1/GPR65/HSPH1/NFKBIZ/HMGB1/JAK2",24
"GO:0032612","interleukin-1 production","16/811","91/12405",0.175824175824176,2.68939445264969,4.27786271589929,0.000244166458336215,0.00534934579419396,0.00534934579419396,"EGR1/TNF/CARD16/SAA1/AIM2/TNFAIP3/CEACAM1/IL1B/IL1R2/NAIP/IFI16/CASP1/GBP5/HMGB1/CLEC7A/JAK2",16
"GO:0032652","regulation of interleukin-1 production","16/811","91/12405",0.175824175824176,2.68939445264969,4.27786271589929,0.000244166458336215,0.00534934579419396,0.00534934579419396,"EGR1/TNF/CARD16/SAA1/AIM2/TNFAIP3/CEACAM1/IL1B/IL1R2/NAIP/IFI16/CASP1/GBP5/HMGB1/CLEC7A/JAK2",16
"GO:0042119","neutrophil activation","9/811","34/12405",0.264705882352941,4.04892289838253,4.70823525462469,0.000247717951219429,0.00539813182470146,0.00539813182470146,"TNF/CXCR2/FCER1G/CD177/FCAR/KMT2E/CD300A/CXCL8/CXCR1",9
"GO:0140894","endolysosomal toll-like receptor signaling pathway","11/811","49/12405",0.224489795918367,3.43378041722238,4.51455699683955,0.000255773797397734,0.00554139351514694,0.00554139351514694,"OAS1/LYN/IRF1/PIK3AP1/TNF/TLR3/TNFAIP3/SLC15A4/RSAD2/HMGB1/MSR1",11
"GO:0039529","RIG-I signaling pathway","7/811","21/12405",0.333333333333333,5.09864364981504,4.97157498861796,0.000257011871009269,0.00554139351514694,0.00554139351514694,"OASL/BIRC3/CLPB/ZC3HAV1/USP15/DDX60/OAS3",7
"GO:0045580","regulation of T cell differentiation","21/811","139/12405",0.151079136690647,2.31089604272193,4.11053954134401,0.000263242026752979,0.00564584873167574,0.00564584873167574,"NCKAP1L/IRF1/PSMA2/ZBTB1/TESPA1/SOCS1/LAG3/CD69/CD2/RASGRP1/CD86/IL7R/IL2RG/PSMA4/GPR65/PRDM1/NFKBIZ/SPINK5/PSMA3/HMGB1/PTPN2",21
"GO:0050764","regulation of phagocytosis","14/811","74/12405",0.189189189189189,2.89382477421935,4.32146661613795,0.000268179682104001,0.0056918343988219,0.0056918343988219,"PTPRC/NCKAP1L/FGR/CCL2/PLSCR1/DYSF/IL2RG/CD300A/SIRPB1/FCGR2A/STAP1/CFB/HMGB1/CLEC7A",14
"GO:0071347","cellular response to interleukin-1","14/811","74/12405",0.189189189189189,2.89382477421935,4.32146661613795,0.000268179682104001,0.0056918343988219,0.0056918343988219,"HIF1A/CCL2/EGR1/NFKBIA/TANK/GBP3/GBP2/IL1B/IL1R2/ZBP1/RPS6KA4/CXCL8/IL1RN/GBP1",14
"GO:0071621","granulocyte chemotaxis","15/811","83/12405",0.180722891566265,2.76432487038165,4.26532038133094,0.00027738750609426,0.00583962107050664,0.00583962107050663,"S100A8/NCKAP1L/THBS4/CCL2/CXCR2/CMKLR1/SAA1/CXCL10/SRP54/TNFAIP6/CXCL9/TREM1/MOSPD2/CXCL8/CXCR1",15
"GO:0002286","T cell activation involved in immune response","16/811","92/12405",0.173913043478261,2.66016190425133,4.22704698994103,0.000278008954031482,0.00583962107050664,0.00583962107050663,"NCKAP1L/PSMA2/LY9/IL18RAP/CD69/IL18R1/ICAM1/CEACAM1/LILRB1/CD86/PSMA4/STAT4/NFKBIZ/PSMA3/LCP1/HMGB1",16
"GO:0043367","CD4-positive, alpha-beta T cell differentiation","16/811","93/12405",0.172043010752688,2.63155801280776,4.17690260977274,0.000315833409040457,0.0066001084196916,0.0066001084196916,"NCKAP1L/PSMA2/SOCS1/TBK1/LY9/IL18RAP/CD69/IL18R1/RSAD2/CD86/PSMA4/GPR65/STAT4/NFKBIZ/PSMA3/HMGB1",16
"GO:0030099","myeloid cell differentiation","33/811","268/12405",0.123134328358209,1.88345418407347,3.86696650970482,0.00032523068428733,0.00676181142076975,0.00676181142076975,"NPM1/NCKAP1L/LYN/IL20RA/SOCS1/BATF2/HIF1A/TNF/STAT1/TLR3/FSTL3/CEACAM1/LILRB1/SRP54/IL1B/IL1R2/CLPB/TNFAIP6/L3MBTL1/KMT2E/SNX10/MEF2C/IFI16/CCR1/LEO1/ISG15/UBD/EVI2B/ZFP36/IRF7/LILRB3/PTPN2/JAK2",33
"GO:0045637","regulation of myeloid cell differentiation","20/811","132/12405",0.151515151515152,2.31756529537047,4.02493066434024,0.000351653871081883,0.00725037486483237,0.00725037486483237,"NCKAP1L/LYN/HIF1A/TNF/STAT1/TLR3/FSTL3/CEACAM1/LILRB1/TNFAIP6/L3MBTL1/MEF2C/CCR1/LEO1/ISG15/EVI2B/ZFP36/IRF7/LILRB3/PTPN2",20
"GO:0019722","calcium-mediated signaling","22/811","152/12405",0.144736842105263,2.21388474268285,3.98247160433916,0.000353097570677151,0.00725037486483237,0.00725037486483237,"PTPRC/PLEK/CXCR4/CD22/CCR5/TNF/MCTP2/CXCR2/CMKLR1/LRRK2/ITPR2/RYR3/CCRL2/CCL20/PPP1R9A/CCR1/DMD/CXCL8/CXCR1/FCGR3A/CLEC7A/GBP1",22
"GO:0032727","positive regulation of interferon-alpha production","7/811","22/12405",0.318181818181818,4.86688712027799,4.80103151110598,0.000355846619132877,0.00725037486483237,0.00725037486483237,"TBK1/IFIH1/STAT1/TLR3/ZC3HAV1/IRF7/HMGB1",7
"GO:0060333","type II interferon-mediated signaling pathway","7/811","22/12405",0.318181818181818,4.86688712027799,4.80103151110598,0.000355846619132877,0.00725037486483237,0.00725037486483237,"IRF1/PARP14/STAT1/PARP9/SP100/PTPN2/JAK2",7
"GO:0002526","acute inflammatory response","12/811","59/12405",0.203389830508475,3.11103680327698,4.29866233516384,0.000362235510281415,0.00734382937510829,0.00734382937510829,"FFAR2/TNF/SAA1/PLSCR1/IL1B/SAA2/PTGS2/FCGR2A/FCGR3B/SERPINA1/FCGR3A/IL1RN",12
"GO:0097190","apoptotic signaling pathway","47/811","432/12405",0.108796296296296,1.66414063570352,3.71599476548287,0.000384532299687691,0.00773552915665012,0.00773552915665012,"S100A8/PPP1R15A/ATF3/CYLD/RPS7/CUL4A/HIF1A/ERO1A/TNF/TNFRSF1B/TLR3/CASP4/SLFN12/DDIT3/BCL3/TNFAIP3/ICAM1/CD38/RB1/LAPTM5/LRRK2/G0S2/IL1B/BIRC3/BCL2L14/TNFSF15/TRAF1/RPL26/PMAIP1/DNAJA1/PTGS2/PLAUR/TMEM117/IFI16/BCL2A1/CASP1/SOD2/NFKBIZ/BCLAF1/TNFSF10/IFI27/IFI6/SP100/FAS/PTPN2/CLEC7A/JAK2",47
"GO:0034165","positive regulation of toll-like receptor 9 signaling pathway","5/811","11/12405",0.454545454545455,6.95269588611142,5.22370869661028,0.000391047608900595,0.00773552915665012,0.00773552915665012,"LYN/SLC15A4/RSAD2/HMGB1/MSR1",5
"GO:0070673","response to interleukin-18","5/811","11/12405",0.454545454545455,6.95269588611142,5.22370869661028,0.000391047608900595,0.00773552915665012,0.00773552915665012,"CYLD/IL18RAP/CASP4/IL18R1/NFKBIZ",5
"GO:0071605","monocyte chemotactic protein-1 production","5/811","11/12405",0.454545454545455,6.95269588611142,5.22370869661028,0.000391047608900595,0.00773552915665012,0.00773552915665012,"OAS1/IL1B/OAS3/HMGB1/CLEC7A",5
"GO:0071637","regulation of monocyte chemotactic protein-1 production","5/811","11/12405",0.454545454545455,6.95269588611142,5.22370869661028,0.000391047608900595,0.00773552915665012,0.00773552915665012,"OAS1/IL1B/OAS3/HMGB1/CLEC7A",5
"GO:1904892","regulation of receptor signaling pathway via STAT","13/811","69/12405",0.188405797101449,2.88184206293894,4.14567444582963,0.000458893965450837,0.00903378217010705,0.00903378217010705,"PTPRC/SOCS1/USP1/PIAS1/PARP14/BCL3/IL12RB2/IL10RA/IL7R/IL2RG/GBP7/PTPN2/JAK2",13
"GO:2001235","positive regulation of apoptotic signaling pathway","15/811","87/12405",0.172413793103448,2.63722947404226,4.05297326229747,0.000470205882396353,0.0091613168990707,0.0091613168990707,"S100A8/ATF3/CYLD/RPS7/TNF/DDIT3/G0S2/BCL2L14/TNFSF15/RPL26/PMAIP1/BCLAF1/TNFSF10/FAS/PTPN2",15
"GO:0032611","interleukin-1 beta production","14/811","78/12405",0.179487179487179,2.74542350374656,4.08972476247718,0.000472116944491987,0.0091613168990707,0.0091613168990707,"EGR1/TNF/CARD16/AIM2/TNFAIP3/IL1B/IL1R2/NAIP/IFI16/CASP1/GBP5/HMGB1/CLEC7A/JAK2",14
"GO:0032651","regulation of interleukin-1 beta production","14/811","78/12405",0.179487179487179,2.74542350374656,4.08972476247718,0.000472116944491987,0.0091613168990707,0.0091613168990707,"EGR1/TNF/CARD16/AIM2/TNFAIP3/IL1B/IL1R2/NAIP/IFI16/CASP1/GBP5/HMGB1/CLEC7A/JAK2",14
"GO:0042509","regulation of tyrosine phosphorylation of STAT protein","7/811","23/12405",0.304347826086957,4.65528333243982,4.64049407140486,0.000482920864406194,0.00932655223912436,0.00932655223912436,"PARP14/PARP9/IL10RA/IL7R/IL2RG/PTPN2/JAK2",7
"GO:0006935","chemotaxis","36/811","308/12405",0.116883116883117,1.78783608500008,3.70294315039541,0.000487743275277714,0.00933123871716753,0.00933123871716753,"S100A8/FFAR2/NCKAP1L/LYN/THBS4/CXCR4/CCL2/TYMP/SEMA7A/CCR5/CXCL2/AIF1/RALA/CXCR2/ANGPT1/CMKLR1/SAA1/CXCL10/CXCL1/SRP54/PROK2/TNFAIP6/CXCL11/BIN2/PLAUR/CXCL9/TREM1/CCRL2/STAP1/CCL20/CCR1/MOSPD2/CXCL8/CXCR1/HMGB1/PTPN2",36
"GO:0042330","taxis","36/811","308/12405",0.116883116883117,1.78783608500008,3.70294315039541,0.000487743275277714,0.00933123871716753,0.00933123871716753,"S100A8/FFAR2/NCKAP1L/LYN/THBS4/CXCR4/CCL2/TYMP/SEMA7A/CCR5/CXCL2/AIF1/RALA/CXCR2/ANGPT1/CMKLR1/SAA1/CXCL10/CXCL1/SRP54/PROK2/TNFAIP6/CXCL11/BIN2/PLAUR/CXCL9/TREM1/CCRL2/STAP1/CCL20/CCR1/MOSPD2/CXCL8/CXCR1/HMGB1/PTPN2",36
