"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031349","positive regulation of defense response","16/81","363/10540",0.0440771349862259,5.7354691698126,8.07985503521339,1.22909278107661e-08,1.11782753984231e-06,1.47983269244829e-07,"FFAR2/GBP2/OASL/MNDA/IFIH1/TNF/CD274/CLEC4E/TNIP3/CASP5/DDX60/ZBP1/GBP5/RSAD2/AIM2/GBP1",16
"GO:0045071","negative regulation of viral genome replication","7/81","39/10540",0.179487179487179,23.3554922443811,12.3083076060279,1.53444241747201e-08,1.32575824869582e-06,1.75510114823242e-07,"OASL/IFIT1/ISG15/IFIH1/TNF/IFITM1/RSAD2",7
"GO:0070098","chemokine-mediated signaling pathway","7/81","41/10540",0.170731707317073,22.2161999397772,11.9779553598334,2.21538078926774e-08,1.82294190659745e-06,2.41329626768499e-07,"CCL2/CXCL9/CXCR2/CMKLR1/CXCL11/CCL8/CXCL10",7
"GO:0045069","regulation of viral genome replication","8/81","65/10540",0.123076923076923,16.0151946818613,10.6858176836411,3.02952299008836e-08,2.28027801499643e-06,3.01873932622813e-07,"OASL/IFIT1/ISG15/IFIH1/TNF/IFITM1/RSAD2/CXCL8",8
"GO:0002683","negative regulation of immune system process","15/81","335/10540",0.0447761194029851,5.82642343836374,7.90020663240958,3.0350922653309e-08,2.28027801499643e-06,3.01873932622813e-07,"MILR1/FSTL3/SOCS1/SERPING1/CCL2/MNDA/ISG15/TNF/CD274/CD69/TNFAIP6/SAMSN1/PARP14/USP18/GBP1",15
"GO:0045089","positive regulation of innate immune response","14/81","287/10540",0.0487804878048781,6.34748569707919,8.08280742075308,3.18384249718632e-08,2.29236659797415e-06,3.03474276115721e-07,"FFAR2/GBP2/OASL/MNDA/IFIH1/TNF/CD274/CLEC4E/TNIP3/DDX60/ZBP1/GBP5/RSAD2/AIM2",14
"GO:0030595","leukocyte chemotaxis","10/81","129/10540",0.0775193798449612,10.087089673653,9.13840867181247,4.77948338403654e-08,3.30357891504606e-06,4.37343320532044e-07,"FFAR2/CCL2/CXCL9/CXCR2/TNFAIP6/CMKLR1/CXCL11/CCL8/CXCL8/CXCL10",10
"GO:0002833","positive regulation of response to biotic stimulus","14/81","298/10540",0.0469798657718121,6.11318253376419,7.87960003074936,5.10431695527208e-08,3.307247567031e-06,4.37828993943285e-07,"FFAR2/GBP2/OASL/MNDA/IFIH1/TNF/CD274/CLEC4E/TNIP3/DDX60/ZBP1/GBP5/RSAD2/AIM2",14
"GO:0050727","regulation of inflammatory response","13/81","251/10540",0.051792828685259,6.73946190546456,8.09876104076284,5.16757432348594e-08,3.307247567031e-06,4.37828993943285e-07,"FFAR2/GBP2/TNF/CD69/TNFAIP6/IL1R2/CASP5/CMKLR1/ZBP1/GBP5/USP18/AIM2/GBP1",13
"GO:1990868","response to chemokine","7/81","47/10540",0.148936170212766,19.3800893091673,11.1133205197117,5.97238976936354e-08,3.54427724889765e-06,4.6920809848354e-07,"CCL2/CXCL9/CXCR2/CMKLR1/CXCL11/CCL8/CXCL10",7
"GO:1990869","cellular response to chemokine","7/81","47/10540",0.148936170212766,19.3800893091673,11.1133205197117,5.97238976936354e-08,3.54427724889765e-06,4.6920809848354e-07,"CCL2/CXCL9/CXCR2/CMKLR1/CXCL11/CCL8/CXCL10",7
"GO:0071621","granulocyte chemotaxis","8/81","71/10540",0.112676056338028,14.6617979481829,10.1643956739272,6.15325911266953e-08,3.54427724889765e-06,4.6920809848354e-07,"CCL2/CXCL9/CXCR2/TNFAIP6/CMKLR1/CCL8/CXCL8/CXCL10",8
"GO:0050900","leukocyte migration","12/81","218/10540",0.055045871559633,7.16275908936459,8.09130627461798,9.12342021785851e-08,5.08557101176113e-06,6.73251818794259e-07,"FFAR2/CCL2/TNF/CXCL9/CD69/CXCR2/TNFAIP6/CMKLR1/CXCL11/CCL8/CXCL8/CXCL10",12
"GO:0071222","cellular response to lipopolysaccharide","10/81","139/10540",0.0719424460431655,9.36139976907363,8.73264831132126,9.73345407931438e-08,5.25606520282977e-06,6.95822642004742e-07,"GBP2/CCL2/TNF/CD274/CXCL9/TNIP3/CARD16/GBP5/CXCL8/CXCL10",10
"GO:0002221","pattern recognition receptor signaling pathway","12/81","226/10540",0.0530973451327434,6.9092100950508,7.90254936292001,1.35364548671646e-07,6.9105645823749e-06,9.14853054498577e-07,"FFAR2/GBP2/OASL/IFIH1/TNF/CD274/CLEC4E/TNIP3/DDX60/GBP5/RSAD2/AIM2",12
"GO:0071219","cellular response to molecule of bacterial origin","10/81","144/10540",0.0694444444444444,9.0363511659808,8.54484416510551,1.35971756829136e-07,6.9105645823749e-06,9.14853054498577e-07,"GBP2/CCL2/TNF/CD274/CXCL9/TNIP3/CARD16/GBP5/CXCL8/CXCL10",10
"GO:0071346","cellular response to type II interferon","7/81","53/10540",0.132075471698113,17.1861169345446,10.3956608981798,1.4106643411398e-07,6.96465137568452e-06,9.22013318682135e-07,"GBP2/GBP4/CCL2/TNF/PARP14/GBP5/GBP1",7
"GO:0002758","innate immune response-activating signaling pathway","12/81","233/10540",0.0515021459227468,6.70163725957717,7.74477020878967,1.88701663563832e-07,9.05767985106392e-06,1.19909827621759e-06,"FFAR2/GBP2/OASL/IFIH1/TNF/CD274/CLEC4E/TNIP3/DDX60/GBP5/RSAD2/AIM2",12
"GO:0097530","granulocyte migration","8/81","83/10540",0.0963855421686747,12.5420199315782,9.28997279762351,2.1181349513609e-07,9.8922626917612e-06,1.30958427948732e-06,"CCL2/CXCL9/CXCR2/TNFAIP6/CMKLR1/CCL8/CXCL8/CXCL10",8
"GO:0034341","response to type II interferon","8/81","85/10540",0.0941176470588235,12.2469135802469,9.16173936187445,2.5525709340972e-07,1.16074804582104e-05,1.53665287772724e-06,"GBP2/GBP4/CCL2/TNF/PARP14/IFITM1/GBP5/GBP1",8
"GO:0048525","negative regulation of viral process","7/81","59/10540",0.11864406779661,15.4383762293367,9.78678685124794,3.00877513962553e-07,1.33311883109562e-05,1.76484543353803e-06,"OASL/IFIT1/ISG15/IFIH1/TNF/IFITM1/RSAD2",7
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","6/81","37/10540",0.162162162162162,21.1011011011011,10.7785702697903,3.28248786309833e-07,1.41049595590051e-05,1.86728091204672e-06,"CCL2/CXCL9/CXCL11/CCL8/CXCL8/CXCL10",6
"GO:1903900","regulation of viral life cycle","8/81","88/10540",0.0909090909090909,11.8294051627385,8.9772510015056,3.34666285832877e-07,1.41049595590051e-05,1.86728091204672e-06,"OASL/IFIT1/ISG15/IFIH1/TNF/IFITM1/RSAD2/CXCL8",8
"GO:0071216","cellular response to biotic stimulus","10/81","162/10540",0.0617283950617284,8.03231214753849,7.93772308529425,4.09665487334849e-07,1.68548086217766e-05,2.2313188693654e-06,"GBP2/CCL2/TNF/CD274/CXCL9/TNIP3/CARD16/GBP5/CXCL8/CXCL10",10
"GO:0071347","cellular response to interleukin-1","7/81","64/10540",0.109375,14.2322530864198,9.34379219315375,5.31264196178054e-07,2.13494076975739e-05,2.82633504267876e-06,"GBP2/CCL2/IL1R2/RPS6KA4/ZBP1/CXCL8/GBP1",7
"GO:0009617","response to bacterium","13/81","317/10540",0.0410094637223975,5.33629318066752,6.89852461830256,7.67855332919237e-07,3.01557730746464e-05,3.99216312636286e-06,"GBP2/GBP4/CCL2/ISG15/TNF/CD274/CXCL9/TNIP3/CARD16/GBP5/CXCL8/GBP1/CXCL10",13
"GO:0060326","cell chemotaxis","10/81","175/10540",0.0571428571428571,7.43562610229277,7.55478841715582,8.35775104337098e-07,3.20937640065445e-05,4.24872348442093e-06,"FFAR2/CCL2/CXCL9/CXCR2/TNFAIP6/CMKLR1/CXCL11/CCL8/CXCL8/CXCL10",10
"GO:0050729","positive regulation of inflammatory response","8/81","104/10540",0.0769230769230769,10.0094966761633,8.12544760160979,1.21479854662487e-06,4.56341714906038e-05,6.04126633649712e-06,"FFAR2/GBP2/TNF/CASP5/ZBP1/GBP5/AIM2/GBP1",8
"GO:0050792","regulation of viral process","8/81","110/10540",0.0727272727272727,9.4635241301908,7.85240254814308,1.86192822775115e-06,6.84555739905106e-05,9.06247097703115e-06,"OASL/IFIT1/ISG15/IFIH1/TNF/IFITM1/RSAD2/CXCL8",8
"GO:0019730","antimicrobial humoral response","6/81","50/10540",0.12,15.6148148148148,9.11565132555456,2.07236078146321e-06,7.46049881326754e-05,9.87655935494527e-06,"CCL2/CXCL9/CXCL11/CCL8/CXCL8/CXCL10",6
"GO:0070555","response to interleukin-1","7/81","81/10540",0.0864197530864197,11.2452370065539,8.1454778618625,2.67810738671944e-06,9.29665174783691e-05,1.23073450030551e-05,"GBP2/CCL2/IL1R2/RPS6KA4/ZBP1/CXCL8/GBP1",7
"GO:0032496","response to lipopolysaccharide","10/81","199/10540",0.050251256281407,6.53886717538309,6.94166018789655,2.69000339925837e-06,9.29665174783691e-05,1.23073450030551e-05,"GBP2/CCL2/TNF/CD274/CXCL9/TNIP3/CARD16/GBP5/CXCL8/CXCL10",10
"GO:0006935","chemotaxis","11/81","253/10540",0.0434782608695652,5.65754159957059,6.59887289798348,3.36967635278945e-06,0.000111976937261926,1.48240338204412e-05,"FFAR2/CCL2/CXCL9/CXCR2/TNFAIP6/CMKLR1/PROK2/CXCL11/CCL8/CXCL8/CXCL10",11
"GO:0042330","taxis","11/81","253/10540",0.0434782608695652,5.65754159957059,6.59887289798348,3.36967635278945e-06,0.000111976937261926,1.48240338204412e-05,"FFAR2/CCL2/CXCL9/CXCR2/TNFAIP6/CMKLR1/PROK2/CXCL11/CCL8/CXCL8/CXCL10",11
"GO:0097529","myeloid leukocyte migration","8/81","120/10540",0.0666666666666667,8.67489711934156,7.44091693275332,3.58970346814199e-06,0.000117037879112252,1.54940251149614e-05,"CCL2/CXCL9/CXCR2/TNFAIP6/CMKLR1/CCL8/CXCL8/CXCL10",8
"GO:0002237","response to molecule of bacterial origin","10/81","206/10540",0.0485436893203883,6.31667265971473,6.78166658116963,3.66893522663356e-06,0.000117405927252274,1.55427490594507e-05,"GBP2/CCL2/TNF/CD274/CXCL9/TNIP3/CARD16/GBP5/CXCL8/CXCL10",10
"GO:0019058","viral life cycle","10/81","222/10540",0.045045045045045,5.86141697252808,6.4422671237241,7.13613231379786e-06,0.000224204302513504,2.96812204764479e-05,"OASL/IFIT1/CCL2/ISG15/IFIH1/TNF/IFITM1/CCL8/RSAD2/CXCL8",10
"GO:0071396","cellular response to lipid","13/81","389/10540",0.0334190231362468,4.34859881303754,5.92216680873636,7.406122008838e-06,0.000228531764844144,3.02541103010379e-05,"FFAR2/GBP2/CCL2/PTCH1/TNF/CD274/CXCL9/TNIP3/CARD16/SLC6A4/GBP5/CXCL8/CXCL10",13
"GO:0002685","regulation of leukocyte migration","8/81","133/10540",0.0601503759398496,7.8269748445187,6.97249924643183,7.72392320929666e-06,0.000232618637427566,3.07951497228856e-05,"CCL2/TNF/CD69/TNFAIP6/CMKLR1/CCL8/CXCL8/CXCL10",8
"GO:0006959","humoral immune response","7/81","95/10540",0.0736842105263158,9.58804418453541,7.39944217898015,7.80780148773079e-06,0.000232618637427566,3.07951497228856e-05,"SERPING1/CCL2/CXCL9/CXCL11/CCL8/CXCL8/CXCL10",7
"GO:0071356","cellular response to tumor necrosis factor","8/81","145/10540",0.0551724137931034,7.17922520221371,6.5933010772672,1.45749444758304e-05,0.000426872950071779,5.65114496219318e-05,"GBP2/CCL2/TNF/CARD16/TNFSF13B/AIM2/CXCL8/GBP1",8
