"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"A2M",10.9985680735822,0.050361557572702,0.499445896975145,0.100834860948329,0.919681552829012,0.960115880890545,"Not significant"
"A2ML1",19.9832388791042,1.69301851320108,0.809537625109963,2.09134011896125,0.0364975858921752,0.126324756478823,"Not significant"
"A4GALT",39.4872517783127,-0.598825329066949,0.249938887515931,-2.39588699068999,0.0165802013758004,0.0737142752574919,"Not significant"
"AAAS",8.51160581026143,-0.248626227605254,0.320041085800001,-0.776857218140502,0.43724301435352,0.62668728285324,"Not significant"
"AACS",20.1952572645578,-0.420794647004363,0.211530246403129,-1.98928831294615,0.0466693889193183,0.148733726641445,"Not significant"
"AACSP1",6.66443035145458,-2.15946159125033,0.705564663513675,-3.06061471459799,0.00220883127979929,0.017580769006256,"Down"
"AADACL2",5.20070872077931,0.876217824902171,0.566611105985068,1.54641837346065,0.122003559620042,0.281496859471309,"Not significant"
"AADACL2_AS1",2.93551586296494,1.19302473592101,0.570020752447827,2.09294965279393,0.0363536491703456,0.125937990307188,"Not significant"
"AADACP1",3.3158376867005,1.0785691703089,0.53552193648569,2.01405226718985,0.0440040462417987,0.143386242720106,"Not significant"
"AADAT",4.0206202648521,0.595238867336361,0.510300168656139,1.16644850207262,0.243433158288145,0.434660221551258,"Not significant"
"AAED1",3.54747117655301,0.629511199825708,0.464241907867786,1.3559982180777,0.175099735011698,0.354972970908144,"Not significant"
"AAGAB",18.2333958090494,0.277677081750276,0.24863899912297,1.11678812547401,0.264084927226847,0.458188373571981,"Not significant"
"AAK1",52.1300681868807,0.285909997800161,0.209774232787489,1.36294145377617,0.172900962757151,0.352107153600578,"Not significant"
"AAMDC",4.84499656005993,-0.216530220861309,0.337784078085105,-0.641031460360171,0.521502243111668,0.696939713059303,"Not significant"
"AAMP",68.3835053789459,-0.261285385139711,0.156921069785385,-1.6650752221933,0.0958977493775682,0.24103525193057,"Not significant"
"AAR2",7.70949164037323,-0.213933489113033,0.316337320346322,-0.676282801152964,0.498861110257299,0.678208397333295,"Not significant"
"AARS",34.2982154799555,0.162158559492867,0.216702541506535,0.748300220041384,0.454279091828035,0.640988208198836,"Not significant"
"AARS2",10.5054021155025,-0.276649024935802,0.344228230507028,-0.803679072248994,0.421582343497357,0.613785763336787,"Not significant"
"AASDH",4.53097179709455,0.34213365889449,0.38779446554924,0.882255135874414,0.377638851880242,0.574553998891062,"Not significant"
"AASDHPPT",10.1363533346374,0.265711830719787,0.268822324915715,0.988429182000031,0.322942501534982,0.520400834748774,"Not significant"
"AASS",8.06860352087057,0.122285055359276,0.359914731833181,0.33976118381271,0.734036381566693,0.846627942710666,"Not significant"
"AATBC",6.10834808859072,-0.849001748600759,0.475665194451867,-1.78487255006982,0.0742819920516281,0.203779862787941,"Not significant"
"AATF",71.8560673036153,0.0620835159954311,0.16841642570645,0.368631003389436,0.712402783235177,0.832661992236634,"Not significant"
"AATK",29.2314005331187,0.0108378890137334,0.499048885955465,0.0217170888839548,0.982673632029398,0.991566876419346,"Not significant"
"ABALON",3.34260332595031,-0.139317239012919,0.336830661679783,-0.413612105020787,0.679158206622756,0.808602877366879,"Not significant"
"ABAT",18.2464234872031,-0.0360168680748281,0.25383162553891,-0.141892752718897,0.887164718889205,0.941495660981912,"Not significant"
"ABCA1",61.2050881166402,0.506804217974358,0.420655300066518,1.20479693919039,0.228281701900073,0.417502579632112,"Not significant"
"ABCA10",5.78528821971955,1.7215431214357,0.441409552215217,3.9001039121064,9.6151410982795e-05,0.00166435539718891,"Up"
"ABCA11P",1.66167065278723,-0.18240912891621,0.517837731327747,-0.352251521820377,0.724649641021456,0.840235403549848,"Not significant"
"ABCA12",8.95055170016233,-0.587517737401857,0.388144409799765,-1.51365760415033,0.13011270294114,0.293071616393486,"Not significant"
"ABCA13",551.835331733292,0.552202489933822,0.272070710437515,2.02962858091497,0.042394307454904,0.139895850496486,"Not significant"
"ABCA2",23.2340794079978,0.160114182621215,0.283675778882224,0.564426696040522,0.572463774851497,0.734811029183381,"Not significant"
"ABCA3",21.8844529005404,-1.95827693609706,0.479003807537373,-4.08822832988497,4.34680205445477e-05,0.000899719028414129,"Down"
"ABCA4",4.71957261606902,-0.654737838481554,0.432057296475491,-1.51539586027728,0.129672185136949,0.292505456684875,"Not significant"
"ABCA5",32.9658230686734,1.11819945524407,0.303598147844255,3.68315638018221,0.000230363741294344,0.00322039277623789,"Up"
"ABCA6",2.44093041363095,1.4210705488289,0.486740447304889,2.91956535910967,0.00350519882864731,0.0247137670774977,"Up"
"ABCA7",60.8369452002376,-0.35470831587785,0.285469671431719,-1.24254290867004,0.214036319258411,0.401346953116311,"Not significant"
"ABCA9",2.5589589520805,1.27426634799278,0.563188202402943,2.2625941782088,0.0236607173439051,0.0939881644399287,"Not significant"
"ABCB1",3.13862356873298,0.137131745426542,0.48033333292615,0.285492877604698,0.775266560307918,0.871819700732899,"Not significant"
"ABCB10",6.8224333814082,-0.200637674701489,0.311878885843913,-0.643319197959115,0.520017001703171,0.695727260828593,"Not significant"
"ABCB11",9.88953892725191,-0.611825149718177,0.371305181323162,-1.6477689525848,0.0994000924117791,0.246655985737317,"Not significant"
"ABCB4",3.98095355294412,-0.321516988875248,0.571515980707301,-0.562568676517746,0.573728626543415,0.735554809327331,"Not significant"
"ABCB5",1.74150349353848,0.411026472990259,0.73722895098065,0.557528936490514,0.577166094313673,0.737686436643008,"Not significant"
"ABCB6",11.7479185270416,-0.115738770303009,0.270181134145743,-0.428374729675154,0.668378319732108,0.80217701696334,"Not significant"
"ABCB7",5.70781822477605,0.401596369867945,0.378403194946303,1.06129222805567,0.288557116657127,0.485886340412217,"Not significant"
"ABCB8",15.0508162012285,-0.577502159636881,0.254771824326331,-2.26674264771591,0.0234059515037574,0.0932795872150259,"Not significant"
"ABCB9",3.20106421545776,-0.187905019951546,0.555333282090935,-0.338364412887425,0.735088588579775,0.847029914145532,"Not significant"
"ABCC1",41.2263648747447,-0.421209942508984,0.176782459217616,-2.38264556547706,0.0171887348004228,0.0756807321769883,"Not significant"
"ABCC10",14.6302124620166,-0.151364387165212,0.253929659058045,-0.596087860420481,0.551116533517927,0.719675499999042,"Not significant"
"ABCC2",3.29526338608602,-1.01266908697511,0.501565435502755,-2.01901689250184,0.0434854637829923,0.14227923099641,"Not significant"
"ABCC3",10.4639095850546,-0.939797051948478,0.38249622435088,-2.45701000982003,0.014009878297102,0.0655698651601246,"Not significant"
"ABCC4",8.62062383994774,-0.0534249680137433,0.407328925849995,-0.131159278468276,0.895649308684247,0.945881108341169,"Not significant"
"ABCC5",48.8030177770965,0.056817113746768,0.202348899018963,0.280787857123173,0.778873117717755,0.87411651337929,"Not significant"
"ABCC6",8.49747029349224,0.330749532545138,0.390940549960472,0.846035369261592,0.397533013512262,0.592776500423087,"Not significant"
"ABCC9",2.72382230380087,0.592365780896621,0.741325483585187,0.799063021591853,0.424253870060867,0.615786043352498,"Not significant"
"ABCD1",18.0198004376841,0.263906636259205,0.403919860574384,0.653363852631369,0.513521736615479,0.690334563890702,"Not significant"
"ABCD2",3.75145344990476,1.08142870153504,0.542471256846103,1.99352258370775,0.0462042531071804,0.147974652603594,"Not significant"
"ABCD3",53.1875809957149,0.372490160462083,0.259915643535482,1.43311943596513,0.151823707931194,0.324111511829103,"Not significant"
"ABCD4",12.6617410531038,-0.0930734166579922,0.21910049687223,-0.424797834722705,0.670984056270582,0.803578640174657,"Not significant"
"ABCE1",10.0288559047545,0.915527998489842,0.373760826963403,2.44950228178804,0.014305380339472,0.06632610120061,"Not significant"
"ABCF1",109.552836590815,0.400363198995839,0.158295431630114,2.52921511930527,0.0114317936225813,0.0570605124740518,"Not significant"
"ABCF2",17.5229714464103,0.101050454490315,0.178150440638839,0.567219784177648,0.570564868151033,0.733503044432088,"Not significant"
"ABCF3",24.883246953865,-0.401290964320918,0.169953581413412,-2.36117980558926,0.0182168956944189,0.0787888291393772,"Not significant"
"ABCG1",33.0561981180012,-0.0411529263185557,0.265731044562463,-0.154866836828627,0.876926298548206,0.935410722544735,"Not significant"
"ABHD10",9.3975928421974,0.702260337693455,0.373685519689703,1.8792816437645,0.0602060467642595,0.177420757018292,"Not significant"
"ABHD11",20.1513345442739,-0.743536821361521,0.209004458800711,-3.55751655073777,0.000374377519853844,0.00468892494981268,"Not significant"
"ABHD11_AS1",3.03760289836087,-1.06518740076445,0.395947917338356,-2.6902209965514,0.00714047151073639,0.0407788679562055,"Down"
"ABHD12",13.5446162594806,-0.889962937566407,0.278556131970657,-3.19491418577049,0.00139872423434141,0.0126735592466557,"Not significant"
"ABHD12B",7.25113443754293,0.279489374066939,0.409323767278851,0.682807587560723,0.494728434520831,0.675626903044762,"Not significant"
"ABHD13",14.147792684899,0.392169824324307,0.315437273662979,1.24325771577429,0.21377288053613,0.401045202569161,"Not significant"
"ABHD14B",7.78349928982811,-0.721002616318776,0.364884795334626,-1.97597330866463,0.0481578003124066,0.151593896457159,"Not significant"
"ABHD15",8.04327343492248,-0.463835176948833,0.314269358095617,-1.47591600962799,0.139966441098107,0.30748208203049,"Not significant"
"ABHD16A",16.5273494780871,-0.105276748457411,0.21777123308693,-0.48342816893261,0.62879175116726,0.773339429091715,"Not significant"
"ABHD16B",5.69562598226661,0.445231354991377,0.537056580309913,0.829021319754527,0.407092343377085,0.600704445320946,"Not significant"
"ABHD17A",6.46138568753011,-0.402910473608272,0.352324649751414,-1.14357730545549,0.252798977922242,0.44467158346754,"Not significant"
"ABHD17B",13.3176798963741,0.204460317627333,0.219917345441243,0.929714376176661,0.35251898903468,0.549862155145003,"Not significant"
"ABHD17C",9.21575321126517,-0.418384629927778,0.342663525908497,-1.22097800989622,0.222094345882401,0.410553139322837,"Not significant"
"ABHD2",107.235657611232,-0.38254281929229,0.184569934962442,-2.07261718638051,0.0382079202987737,0.130199812028574,"Not significant"
"ABHD3",8.62525080342703,-0.224558985535698,0.29718128234293,-0.755629640485129,0.449871279511858,0.636899726263984,"Not significant"
"ABHD4",5.52963998576931,-0.019248590467515,0.316613628435576,-0.0607952050662647,0.951522309062399,0.975844521839453,"Not significant"
"ABHD5",22.4253114653128,0.372229722291904,0.365060814371855,1.01963757170811,0.307900379173526,0.50482241547646,"Not significant"
"ABHD6",5.71713664256426,0.147046452223297,0.351570586691202,0.418255843320741,0.675760070511246,0.80647293473767,"Not significant"
"ABHD8",3.45601680647083,-0.285904223847407,0.483644346262449,-0.591145592948297,0.554422873418974,0.722245181756586,"Not significant"
"ABI1",65.445005034332,0.652274892936437,0.186319948083496,3.50083230295949,0.000463807599267529,0.00556142629374581,"Not significant"
"ABI2",24.4273247421839,-0.0548588379863481,0.276105180180941,-0.198688188140466,0.84250666431153,0.914637002841215,"Not significant"
"ABI3",22.6494680282546,0.167794117680799,0.473007506573871,0.354738805090388,0.722785276855619,0.83934278383946,"Not significant"
"ABI3BP",1.17940866603136,0.802101604837981,0.681985404731605,1.17612722981022,0.23954403822519,0.430008616513453,"Not significant"
"ABL1",47.4299394969946,-0.666118750910487,0.351585014817327,-1.8946164450626,0.0581432345016645,0.17300348611562,"Not significant"
"ABL2",17.4651057307613,0.0988503639465023,0.252808750596224,0.391008474640905,0.695790971696377,0.820910587733161,"Not significant"
"ABLIM1",115.021922035154,-0.113911587031853,0.217448426759721,-0.523855650414638,0.600378943306008,0.753663151603713,"Not significant"
"ABLIM2",8.78677412317838,-0.1735217529932,0.626338282762924,-0.277041588816439,0.781748172196071,0.876337516908383,"Not significant"
"ABLIM3",9.19929372259487,0.72588219875964,0.812020917121099,0.893920567136558,0.371364392613618,0.568768720330615,"Not significant"
"ABO",8.01473041867951,-0.482020196812519,0.384056712143352,-1.25507556975752,0.209451328111728,0.396379287652992,"Not significant"
"ABR",67.3205748209238,-0.389109546033445,0.187042716519813,-2.08032450166124,0.0374957789220687,0.128585130083833,"Not significant"
"ABRACL",10.7373914952876,0.465120037981134,0.342079108840136,1.35968559891946,0.173929437256371,0.35355258952815,"Not significant"
"ABT1",11.990467344358,0.394183260802303,0.258214961324367,1.52657018315501,0.126867926088056,0.288592718044177,"Not significant"
"ABTB1",27.2905492412791,-0.69386773601638,0.455063569008637,-1.52477100623102,0.127316224011699,0.289187470020484,"Not significant"
"ABTB2",15.0839234946444,0.00290520177700253,0.574352983344146,0.00505821656934228,0.995964144304066,0.997493614119308,"Not significant"
"ACAA1",17.871588774757,-0.337600815630372,0.287531005916489,-1.17413707977089,0.240340123437801,0.431042091868735,"Not significant"
"ACAA2",2.14485694224382,0.187474110491171,0.523594317197841,0.358052225422327,0.72030423058346,0.838203361357178,"Not significant"
"ACACA",53.3712580453136,0.00803003721485968,0.170773815385345,0.0470214780687552,0.962496109436731,0.981181701659021,"Not significant"
"ACACB",27.9124794022163,-0.153753569712181,0.215598378425131,-0.713148080404386,0.47575413006626,0.658173514921478,"Not significant"
"ACAD10",15.1810537063206,-1.42781964863175,0.286596440193848,-4.9819866836657,6.2934766817269e-07,2.96627479264044e-05,"Down"
"ACAD11",2.15738535076332,0.319108427055792,0.46504423140306,0.686189410613754,0.492593674526852,0.67354189143701,"Not significant"
"ACAD8",15.984038207381,-0.642614046936694,0.241086920815484,-2.66548697359041,0.00768769099697658,0.0428400508157036,"Not significant"
"ACAD9",15.981405410751,0.0853604803081783,0.262572575747026,0.325092900754488,0.745110761779163,0.852669220986999,"Not significant"
"ACADL",1.33797111317425,0.518788178341499,0.695853849869968,0.745541866928585,0.455944211153765,0.642228093058903,"Not significant"
"ACADM",21.4180017371391,0.707261855444977,0.275031353568263,2.57156810039635,0.0101239102146058,0.0520601206172039,"Not significant"
"ACADS",4.02948034340683,-0.959619336163301,0.34306810121292,-2.79716864602264,0.00515526163496369,0.0322572597750002,"Not significant"
"ACADSB",8.55484178276092,0.0877579977883538,0.348495968529163,0.25181926252616,0.801180767671968,0.888761991530623,"Not significant"
"ACADVL",76.4614811226712,-0.362214968943499,0.194851799768776,-1.85892544679252,0.0630377065943033,0.182567838753962,"Not significant"
"ACAN",5.4998846210002,2.36473545048338,1.27546725184757,1.85401502630347,0.063737010270819,0.183844559763645,"Not significant"
"ACAP1",14.0150571330598,0.646792417040764,0.358818877078249,1.80255961533405,0.0714574042198871,0.19878497088583,"Not significant"
"ACAP2",56.1007156123805,0.799524227536442,0.22906312488107,3.49041002540918,0.000482279979016166,0.0057215444364253,"Not significant"
"ACAP3",21.3432595579103,-0.581100382249093,0.248615803381379,-2.33734289753769,0.0194213616982145,0.0824485805354479,"Not significant"
"ACAT1",13.0220851056472,0.921362801084432,0.334798720470136,2.75199021008988,0.0059234291660667,0.0356959970918691,"Not significant"
"ACAT2",4.02514857544098,0.46389602438557,0.417209789565308,1.11190110104776,0.266180675259647,0.460598828537316,"Not significant"
"ACBD3",171.767463932715,0.152820183137525,0.214716087100934,0.711731408674967,0.476631114250547,0.658978942904449,"Not significant"
"ACBD4",5.30112675896173,-0.522177734277966,0.325410071176377,-1.60467600892087,0.108565124338959,0.260476397678018,"Not significant"
"ACBD5",103.763958586516,1.16360100090266,0.372850686619783,3.12082300679589,0.00180346392768762,0.0152543802921383,"Up"
"ACBD6",15.1661091212902,-0.235405473710709,0.218164352273759,-1.07902813295233,0.280575186511886,0.47639328543164,"Not significant"
"ACBD7",9.5776934368245,0.0863180996469344,0.373511449521571,0.231098938887948,0.817237939454773,0.897980428101137,"Not significant"
"ACCS",11.0194708089542,-0.157687892153573,0.341995240618633,-0.461082124617678,0.644739685901013,0.784394853442626,"Not significant"
"ACD",4.60587031563556,-0.215699886611284,0.351520702513446,-0.613619297722681,0.539466928367899,0.711289054187806,"Not significant"
"ACE",20.1139233872886,-0.822085413907403,0.526267569605377,-1.56210540300601,0.118263160277194,0.275589267612441,"Not significant"
"ACE2",6.20769598154073,0.876511268177989,0.387487155154636,2.26203954509975,0.0236949601581374,0.0940711058100987,"Not significant"
"ACER2",3.91304068465179,-0.256763610519753,0.387436935515145,-0.66272362540333,0.507507575885232,0.685555813833919,"Not significant"
"ACER3",8.08350776734682,0.206055904907467,0.301553162247937,0.683315351002846,0.494407596037205,0.675322107436294,"Not significant"
"ACHE",4.49003104394785,-0.869520888616973,0.5977438175453,-1.45467148817658,0.145760229513321,0.315906742929083,"Not significant"
"ACIN1",323.529161868293,0.583127689243807,0.189743992166661,3.07323400643758,0.00211752368891694,0.0170535309748699,"Not significant"
"ACKR2",2.17542504969979,0.0759860302518846,0.563842202997151,0.13476470872165,0.892797909595637,0.944527191491618,"Not significant"
"ACKR3",2.13880480170616,-0.242800770599417,0.594624976382044,-0.408325886471709,0.68303443681796,0.811365889875308,"Not significant"
"ACLY",41.1859495555114,0.116632327278897,0.174837379526477,0.667090341863845,0.504714428932309,0.68302096202826,"Not significant"
"ACO1",13.0359637318048,0.460565678763483,0.352333869948437,1.30718536605886,0.191149764328839,0.37429716492488,"Not significant"
"ACO2",34.0622142052789,-0.28807233348225,0.197423958618615,-1.45915589727765,0.144522204262206,0.314004286129772,"Not significant"
"ACOT11",11.2604233361008,-0.138798992903228,0.31402371140171,-0.442001631926677,0.658488025014367,0.79498084549269,"Not significant"
"ACOT13",16.9942737690128,-0.346587553286998,0.247581257207274,-1.39989414867878,0.161545018516391,0.337272374882519,"Not significant"
"ACOT2",5.74330274173574,-0.597953385611219,0.47611983382588,-1.25588841953157,0.209156427775346,0.396040631876647,"Not significant"
"ACOT7",7.13811754469031,-1.04826579168902,0.312101789636992,-3.35873047350439,0.000783013967791431,0.00820120653815283,"Down"
"ACOT8",3.86412698247924,-0.16705035699121,0.388191279054816,-0.430330009983612,0.666955599988516,0.801131758218039,"Not significant"
"ACOT9",18.0872337574118,0.50721779112559,0.360062311955264,1.40869447949501,0.158925528005763,0.333270793652397,"Not significant"
"ACOX1",28.7712864265918,0.0363965712194507,0.295289339548691,0.12325731526603,0.901903340508005,0.94922997526501,"Not significant"
"ACOX2",2.3573476635688,-0.137471697112913,0.489382127200107,-0.280908699913966,0.778780427659515,0.874075178024393,"Not significant"
"ACOX3",23.7831908976676,-0.037069970805883,0.229500011194797,-0.161524919379714,0.871679986218384,0.932652883715916,"Not significant"
"ACOXL",22.4922150820163,3.23541415114665,0.835963543966303,3.87028139504259,0.000108709800140523,0.00182520488476278,"Up"
"ACP1",15.2006565314644,0.42729753174058,0.324745553944832,1.3157917839059,0.188243937668354,0.371218385407044,"Not significant"
"ACP2",7.45864333954842,0.0419017356019139,0.35194875514298,0.119056354056122,0.905230709143694,0.951185209285557,"Not significant"
"ACP5",4.79178153474489,-0.33638939701415,0.393932604711475,-0.853926262997522,0.393145846740814,0.58857839580647,"Not significant"
"ACP6",7.93099385176457,-0.720904748959753,0.358205459399524,-2.01254539829805,0.0441624761120849,0.143700234186298,"Not significant"
"ACPP",2.33332122777032,0.222583550212506,0.594294402223551,0.374534152399399,0.708006952511941,0.829371968129423,"Not significant"
"ACRBP",4.31893887515957,1.76894927610434,0.574454497460903,3.0793549078702,0.00207449389646627,0.0168108133049737,"Up"
"ACRC",2.98936566571793,0.613113062038529,0.477293101641494,1.28456300736366,0.198945032600912,0.383669197700157,"Not significant"
"ACSBG1",4.15358047897338,-0.212778379326484,0.389202149331708,-0.546704019214288,0.584582092491978,0.743134880760676,"Not significant"
"ACSF2",18.0373692667491,0.0363811283909335,0.26524359779801,0.137161193306686,0.89090338419724,0.943415859505881,"Not significant"
"ACSF3",12.8272978883553,-0.443625112833336,0.245067990653274,-1.81021238902221,0.0702628571041578,0.196615376960991,"Not significant"
"ACSL1",135.340504362798,1.55181417398043,0.536517034227289,2.89238565596599,0.00382328321743225,0.0262176500102107,"Up"
"ACSL3",42.7902873261992,0.91677440672222,0.278746689368726,3.28891585689655,0.00100574086071836,0.0100304862896883,"Not significant"
"ACSL4",13.5021616950139,1.0535345550262,0.366600083758783,2.87379791140312,0.00405568380226271,0.0272608849389205,"Up"
"ACSL5",19.0173127098608,0.207362897502363,0.245835493710752,0.843502678853787,0.398947368175719,0.593810369753035,"Not significant"
"ACSM1",3.27494916153043,-2.80050267291369,0.467160688371128,-5.99473102644475,2.03822514380775e-09,2.31117007610896e-07,"Down"
"ACSM3",2.43771110478881,0.960918155460971,0.677032042082767,1.41930971613231,0.155808740702034,0.329549365135534,"Not significant"
