"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032212","positive regulation of telomere maintenance via telomerase","18/6757","23/18842",0.782608695652174,2.18231656703837,4.24233567266614,4.051736152168e-05,0.000668593855138204,0.000668593855138204,"CCT8/PTGES3/TNKS/ATR/ATM/WRAP53/CCT7/HNRNPD/TNKS2/CCT6A/PARN/DKC1/CCT3/CCT5/NAF1/CTNNB1/TCP1/CCT4",18
"GO:0044804","nucleophagy","18/6757","23/18842",0.782608695652174,2.18231656703837,4.24233567266614,4.051736152168e-05,0.000668593855138204,0.000668593855138204,"ATG2A/WIPI2/ULK1/WDR45B/ATG7/ULK2/ATG4B/ATG12/RB1CC1/WIPI1/ATG2B/SNX30/ATG9A/ATG4A/ATG13/ATG4D/ULK3/SNX7",18
"GO:0019827","stem cell population maintenance","65/6757","121/18842",0.537190082644628,1.49796293283855,4.10894933741259,4.31457926723268e-05,0.000709955486769219,0.000709955486769219,"HES1/SRRT/KLF4/DDB1/SS18/SIRT6/DPF2/SAP30L/KAT2A/RBBP4/NOTCH1/ZFP36L2/CNOT2/RBBP7/BRMS1L/SAP130/DSG2/SETD6/DIS3L2/PAF1/SOX2/ACTB/ARID1A/CNOT1/ZC3H13/METTL3/SMARCE1/SMARCA2/TAF5L/SMARCA4/HDAC1/SAP30/ELAVL1/PHF10/ING2/CNOT3/MMP24/SOX9/SMARCD1/TBX1/SIN3A/MYC/HMGA2/TP63/PTN/OGT/TAF6L/BRMS1/SMARCC1/DCAF5/ASCL2/YME1L1/HDAC2/SUDS3/ACTL6A/DLL1/CTNNB1/JAG1/LBH/NCOA3/CTR9/LIG4/BCL7A/RTF1/METTL14",65
"GO:0006417","regulation of translation","199/6757","443/18842",0.44920993227991,1.25262890987392,4.02340182267571,4.43969269693052e-05,0.000728484787594938,0.000728484787594938,"CSDE1/NGRN/PCIF1/RPS3/RPS6KB1/SERBP1/YTHDF2/ZNF598/ENC1/MKNK1/YBX3/PUM1/MRPL13/GIGYF1/GRB7/EIF3B/RARA/PPP1R15B/LSM14A/KLHL25/EIF4ENIF1/YTHDF1/ELP3/EIF2AK4/TNRC6A/RPS4X/RPUSD3/PELO/ZFP36L2/YTHDF3/CNOT2/AGO3/TRAP1/DAP/GEMIN5/UNK/NCK1/FOXO3/HABP4/UQCC2/NMNAT2/SHMT2/RNF139/TCOF1/CNOT7/EIF4EBP2/EIF4A2/EIF4E2/AKT1/ILF3/UHMK1/CELF1/SAMD4B/EIF4B/NCBP2/PAIP2B/UPF3B/ATXN2/NAT10/LARP1/EIF3K/PAIP2/EIF3E/CTIF/PABPC1L/PASK/DUS3L/CNOT1/PKM/HBS1L/MTG2/AGO2/FMR1/ALKBH3/METTL3/TOB1/RPUSD4/EIF4H/EIF2AK1/GAPDH/LIMD1/PRMT1/APP/UPF3A/EIF5/MKNK2/HNRNPD/RPL13A/GSPT1/POLR2G/EIF2S1/DDX1/EEFSEC/METTL5/CASC3/ELAVL1/PLXNB2/ALKBH5/SMYD5/PRKDC/DHX9/RBM4/MALSU1/EIF5B/PABPC1/EIF4G3/METTL8/CNOT3/COA3/LRPPRC/LARP4/NCBP1/EIF2B5/CNOT11/CIRBP/IFRD2/RPS6KB2/EIF4G2/RPS6KA1/DHX36/FXR2/IGFBP5/HTATIP2/IGF2BP2/LSM14B/FXR1/EIF4G1/AGO1/PPP1CA/OGT/HNRNPU/GCN1/PURA/ITGA2/HELZ/TNRC6B/NCL/PA2G4/MRPS27/POLDIP3/EIF2AK3/MIF4GD/UPF1/DDX6/MAGOH/AJUBA/OGFOD1/ABCF1/EIF2A/AKT2/PRKCH/SECISBP2L/PKP1/EEF2K/YBX1/EIF2B1/CYFIP1/BZW2/RPL10/EIF2S3/NGDN/PURB/RPS6KA3/TRNAU1AP/MSI2/NCK2/DAPK3/EIF5A/MAPKAPK5/ETF1/MTOR/LARP1B/LARP4B/EIF3H/CNOT6/CNOT10/CAPRIN1/DHX57/KHDRBS1/NOLC1/PUS7/PTCD3/CNOT8/NSUN5/PAIP1/METAP1/ZNF385A/CNBP/ERBB2/METTL14/EIF4EBP1/EIF2B2/GIGYF2/TACO1/CNOT6L/CSNK2A1/ELP5/INPP5E/CPEB2",199
"GO:0006901","vesicle coating","26/6757","38/18842",0.684210526315789,1.90793173551015,4.18914584386933,4.46660565677687e-05,0.000730842077267563,0.000730842077267563,"MAPK15/AP3B2/PDCD6/TRAPPC11/TRAPPC9/TMED10/TMED2/PPP6C/SAR1A/GBF1/TFG/CSNK1D/TRAPPC1/AP3M2/KLHL12/PEF1/TRAPPC12/CUL3/TRAPPC3/TRAPPC6B/TRAPPC2L/PREB/SAR1B/SEC16A/ARFGAP2/TRAPPC8",26
"GO:0018193","peptidyl-amino acid modification","178/6757","391/18842",0.455242966751918,1.26945212069552,4.02592460249108,4.50535446428193e-05,0.000734215065555185,0.000734215065555185,"ERRFI1/HES1/RPS6KB1/DPH2/STK39/TTLL6/PIN1/NAA20/SENP1/ZFYVE28/SENP2/PRKCD/KAT2A/SMYD2/HDAC7/KAT7/TNKS/DMTN/ZDHHC2/SIRT1/SMC5/SYK/IKBKB/TTLL7/P4HB/GOLGA7/RANBP2/DOHH/SAE1/ZGPAT/ZMIZ2/CNOT7/EGLN2/BRAF/NNAT/ARAF/SRCIN1/ATM/SENP6/MAPK8/SETD6/ULK1/IL10RB/EP300/DYRK1A/SOCS5/AKT1/SIRT3/UHMK1/PRMT7/SUMO2/VKORC1L1/TNFRSF18/IGF1R/ZDHHC21/ZMIZ1/SUMO1/ZDHHC3/NEK6/DESI1/UBE2K/NSMCE4A/DDR1/GAPDH/PRMT1/CHEK1/GSK3B/NSD1/RWDD3/CHMP6/PRKDC/PIAS4/PARK7/LTK/TRIM27/PIBF1/VIPAS39/HINT1/UBE2I/CREBL2/ATAT1/FGFR2/UNC119/ERCC6/SFRP2/ABI1/ZDHHC12/SETD2/ERBB4/BCL11A/TPST2/TRIM28/DNAJC24/ARL2BP/IP6K2/ACVR1B/ABL2/VPS33B/SPRY2/VPS25/VEGFB/CFAP20/PRMT5/RAF1/RAP2B/DIP2A/ZDHHC18/EHMT2/CDKN2A/TTLL1/ARNT/SIRT5/SIRT2/SETD7/ZBED1/GNL3L/PPIL1/PDK3/MAPK3/TSG101/CADM4/ZDHHC7/NSMCE2/IL4R/OGFOD1/ABI2/PIAS3/EHMT1/TTLL5/PARD3/AGBL3/UBA2/CEP41/MAP2K2/PIKFYVE/MUL1/SUMO3/BAG6/STX1A/DOK7/CDK2/CTNNB1/SETD3/PRKX/NMT1/MAPK1/NAA60/SRPK2/SENP5/TTBK2/TTLL3/PPIA/LMTK2/RAB6A/CEMIP/CBX4/ROCK1/ZDHHC9/PDCD10/HIPK2/SLF2/PDCL3/NTMT1/STK11/PTEN/SOCS4/TOLLIP/TTLL10/DPH1/TGFBR1/ERBB2/CNKSR3/SRC/TOPORS/ZDHHC20/CSNK2A1/ZNF451/CAPN3",178
"GO:0031109","microtubule polymerization or depolymerization","72/6757","137/18842",0.525547445255474,1.4654972566973,4.08887806974124,4.512429072425e-05,0.000734215065555185,0.000734215065555185,"BLOC1S2/RPS3/KATNB1/CDK5RAP2/DCTN1/TUBGCP2/OCLN/ABL1/MID1IP1/MAPRE3/KIF19/TPPP/GIT1/TUBG1/CLASP1/SPAST/DYRK1A/NME7/ACTB/NIN/MAP1S/MAP4/GBA2/CEP192/NUMA1/SSNA1/CIB1/CSNK1D/EML2/ATXN7/ARHGEF2/PPP2CB/TUBGCP3/HAUS5/TUBA1A/SLAIN2/PPP2CA/MAPRE1/ARHGEF7/NDE1/TUBGCP6/PCNT/STMN1/TPPP3/SLAIN1/TRPV4/CKAP5/CAMSAP2/CCSAP/HAUS1/GOLGA2/KIF24/PAK1/KIF2A/GAS2L2/CAMSAP1/GAS2L1/MECP2/CCDC57/RANBP9/HAUS2/ZNF207/TTBK2/SPEF1/KIF21A/MAP1A/TBCD/NDEL1/HAUS4/FKBP4/DRG1/CLIP1",72
"GO:1902905","positive regulation of supramolecular fiber organization","82/6757","160/18842",0.5125,1.42911425188693,4.07593127836224,4.55334451705436e-05,0.00073880868556662,0.00073880868556662,"RPS3/KATNB1/PPM1F/CDK5RAP2/PXN/DCTN1/RGCC/MTSS1/OCLN/FCHSD1/TGFB3/GSN/ABL1/NCK1/NF2/RAC1/RHOC/RAPGEF3/GIT1/CLASP1/SPAST/BAIAP2/NCKAP1/GPX1/SORBS3/ARF6/ITGB1BP1/PSEN1/BAG4/APP/SMAD3/SNX9/NUMA1/C15orf62/PRKCE/CDC42/EVL/TESK1/BIN1/WNT4/BAIAP2L1/CDC42EP5/RHOA/SLAIN2/PFN1/SEMA5A/CCR7/MAPRE1/PYCARD/BRK1/SWAP70/SLAIN1/ABI2/TRPV4/CKAP5/CYFIP1/CD47/MYLK3/SCIN/S100A10/EPHA1/CFL1/FHOD1/NCK2/SYNPO/PAK1/CDC42EP1/FHOD3/MECP2/TPM1/LIMA1/WHAMM/CTTN/SDC4/CDC42EP4/ROCK2/BAIAP2L2/TGFBR1/ALOX15/DRG1/CLIP1/LIMCH1",82
"GO:0030520","estrogen receptor signaling pathway","33/6757","52/18842",0.634615384615385,1.76963490852791,4.15555128573877,4.64516093730731e-05,0.000751020876694103,0.000751020876694103,"TADA3/FOXA1/STRN3/UFM1/CNOT2/PARP1/EGLN2/TRIP4/PPARGC1B/CNOT1/LATS1/CDK12/NCOA4/DDX54/HDAC1/SAFB/DDRGK1/TP63/BRCA1/CARM1/UBA5/RBFOX2/HDAC2/PAGR1/VPS18/PAK1/LBH/DDX5/UFSP2/KANK2/KMT2D/WBP2/DDX17",33
"GO:0032007","negative regulation of TOR signaling","44/6757","75/18842",0.586666666666667,1.63592915988358,4.12617412352807,4.65439547616431e-05,0.000751020876694103,0.000751020876694103,"GSK3A/RPS6KB1/DEPDC5/TSC2/PRKACA/SIRT1/PRKAA1/UBR1/YWHAG/ATM/DDIT4/FNIP2/ATXN3/PDCD6/NPRL3/GSK3B/USP7/SAR1A/SESN3/SH3BP4/TMEM127/AKT1S1/UBE3A/RPS6KA1/WDR24/OTUD7B/SEH1L/VHL/DEPTOR/MAPK3/UBE2N/UBE2W/TNFAIP8L1/MAPKAPK5/FLCN/ITFG2/PRKAA2/SAR1B/TSC1/STK11/RNF167/FNIP1/UBR2/TBC1D7",44
